"活动类别","持续时间","开始时间","结束时间","备注"
"Chaos","01:47","2015-01-06 16:08","2015-01-06 17:56",
"交流","00:05","2015-01-06 16:03","2015-01-06 16:08",
"GDG","01:18","2015-01-06 14:45","2015-01-06 16:03",""
"交通","00:19","2015-01-06 14:26","2015-01-06 14:45",
"Chaos","00:51","2015-01-06 13:34","2015-01-06 14:26",
"用餐","00:11","2015-01-06 13:22","2015-01-06 13:34",
"交通","00:53","2015-01-06 12:28","2015-01-06 13:22",
"上网","02:09","2015-01-06 10:19","2015-01-06 12:28",
"Chaos","01:31","2015-01-06 08:48","2015-01-06 10:19",
"用餐","00:26","2015-01-06 08:22","2015-01-06 08:48",
"交通","00:35","2015-01-06 07:46","2015-01-06 08:22",
"家务","00:26","2015-01-06 07:20","2015-01-06 07:46",
"睡眠","06:19","2015-01-06 01:00","2015-01-06 07:20",
"Chaos","01:04","2015-01-05 23:55","2015-01-06 01:00",
"家务","00:43","2015-01-05 23:12","2015-01-05 23:55",
"交通","00:23","2015-01-05 22:49","2015-01-05 23:12",
"Chaos","00:51","2015-01-05 21:58","2015-01-05 22:49",
"工作","01:21","2015-01-05 20:36","2015-01-05 21:58",
"Chaos","00:28","2015-01-05 20:07","2015-01-05 20:36",
"交流","00:14","2015-01-05 19:53","2015-01-05 20:07",
"上网","01:28","2015-01-05 18:24","2015-01-05 19:53",
"Chaos","00:40","2015-01-05 17:43","2015-01-05 18:24",
"交流","02:53","2015-01-05 14:49","2015-01-05 17:43",
"交通","00:19","2015-01-05 14:30","2015-01-05 14:49",
"Chaos","01:06","2015-01-05 13:24","2015-01-05 14:30",
"用餐","00:21","2015-01-05 13:02","2015-01-05 13:24",
"交通","00:36","2015-01-05 12:26","2015-01-05 13:02",
"GDG","01:32","2015-01-05 10:53","2015-01-05 12:26",
"家务","00:09","2015-01-05 10:44","2015-01-05 10:53",
"Chaos","01:30","2015-01-05 09:14","2015-01-05 10:44",
"用餐","00:43","2015-01-05 08:30","2015-01-05 09:14",
"交通","00:35","2015-01-05 07:54","2015-01-05 08:30",
"家务","00:44","2015-01-05 07:10","2015-01-05 07:54",
"睡眠","06:00","2015-01-05 01:09","2015-01-05 07:10",
"Chaos","01:41","2015-01-04 23:28","2015-01-05 01:09",
"交通","00:27","2015-01-04 23:00","2015-01-04 23:28",
"工作","02:08","2015-01-04 20:52","2015-01-04 23:00",""
"用餐","01:18","2015-01-04 19:34","2015-01-04 20:52",
"交流","01:04","2015-01-04 18:29","2015-01-04 19:34",
"Chaos","00:22","2015-01-04 18:07","2015-01-04 18:29",
"购物","01:00","2015-01-04 17:07","2015-01-04 18:07",
"Chaos","01:20","2015-01-04 15:46","2015-01-04 17:07",
"交通","01:07","2015-01-04 14:38","2015-01-04 15:46",
"家务","00:26","2015-01-04 14:12","2015-01-04 14:38",
"Chaos","00:45","2015-01-04 13:27","2015-01-04 14:12",
"用餐","00:39","2015-01-04 12:47","2015-01-04 13:27",
"交通","00:43","2015-01-04 12:03","2015-01-04 12:47",
"OBP","01:27","2015-01-04 10:35","2015-01-04 12:03",
"GDG","00:12","2015-01-04 10:22","2015-01-04 10:35",
