活动类别,持续时间,开始时间,结束时间,备注
家务,4.3,06/01 20:20,06/02 00:40,
Chaos,1.7,06/01 18:37,06/01 20:20,
用餐,1.9,06/01 16:41,06/01 18:37,
家务,5.0,06/01 11:39,06/01 16:41,
购物,2.2,06/01 09:25,06/01 11:39,
家务,1.8,06/01 07:39,06/01 09:25,
睡眠,6.9,06/01 00:46,06/01 07:39,
阅读,0.2,06/01 00:31,06/01 00:46,
电影,2.2,05/31 22:17,06/01 00:31,
家务,1.5,05/31 20:46,05/31 22:17,
用餐,1.9,05/31 18:53,05/31 20:46,
工作,0.7,05/31 18:08,05/31 18:53,
交通,0.5,05/31 17:39,05/31 18:08,
娱乐,2.8,05/31 14:54,05/31 17:39,
工作,0.3,05/31 14:33,05/31 14:54,
Chaos,1.5,05/31 13:02,05/31 14:33,
用餐,0.4,05/31 12:36,05/31 13:02,
交流,3.2,05/31 09:25,05/31 12:36,
工作,0.0,05/31 09:23,05/31 09:25,
Chaos,0.8,05/31 08:37,05/31 09:23,
交通,0.5,05/31 08:05,05/31 08:37,
Chaos,0.7,05/31 07:23,05/31 08:05,
睡眠,7.1,05/31 00:20,05/31 07:24,
电影,4.0,05/30 20:22,05/31 00:20,
Chaos,1.0,05/30 19:23,05/30 20:22,
用餐,1.0,05/30 18:23,05/30 19:23,
GDG,0.9,05/30 17:29,05/30 18:23,
阅读,0.4,05/30 17:04,05/30 17:29,
工作,2.5,05/30 14:32,05/30 17:04,
Chaos,2.0,05/30 12:30,05/30 14:32,
交通,0.2,05/30 12:20,05/30 12:30,
用餐,0.4,05/30 11:58,05/30 12:20,
交流,0.6,05/30 11:22,05/30 11:58,
Chaos,0.8,05/30 10:34,05/30 11:22,
工作,2.7,05/30 07:52,05/30 10:34,
睡眠,6.7,05/30 01:12,05/30 07:52,
电影,2.5,05/29 22:41,05/30 01:12,
Chaos,0.5,05/29 22:11,05/29 22:41,
工作,3.1,05/29 19:07,05/29 22:11,
用餐,0.5,05/29 18:37,05/29 19:07,
工作,3.8,05/29 14:48,05/29 18:37,
工作,0.4,05/29 14:22,05/29 14:48,
Chaos,1.7,05/29 12:39,05/29 14:22,
用餐,0.6,05/29 12:01,05/29 12:39,
Pt0,1.5,05/29 10:29,05/29 12:01,
工作,3.0,05/29 07:27,05/29 10:29,
睡眠,6.2,05/29 01:14,05/29 07:27,
电影,3.5,05/28 21:45,05/29 01:14,
家务,0.3,05/28 21:26,05/28 21:45,
Chaos,0.5,05/28 20:58,05/28 21:26,
工作,1.9,05/28 19:06,05/28 20:58,
用餐,0.6,05/28 18:31,05/28 19:06,
工作,2.3,05/28 16:15,05/28 18:31,
GDG,1.5,05/28 14:45,05/28 16:15,
Chaos,2.4,05/28 12:22,05/28 14:45,
用餐,0.4,05/28 11:59,05/28 12:22,
Chaos,0.3,05/28 11:42,05/28 11:59,
工作,2.2,05/28 09:29,05/28 11:42,
Chaos,0.7,05/28 08:47,05/28 09:29,
家务,0.8,05/28 08:00,05/28 08:47,
Chaos,0.3,05/28 07:39,05/28 08:00,
睡眠,6.1,05/28 01:31,05/28 07:39,
阅读,0.7,05/28 00:49,05/28 01:31,
电影,0.8,05/28 00:00,05/28 00:49,
家务,2.2,05/27 21:48,05/28 00:00,
Chaos,2.4,05/27 19:25,05/27 21:50,
学习,1.0,05/27 18:25,05/27 19:25,
用餐,0.3,05/27 18:05,05/27 18:25,
工作,3.8,05/27 14:20,05/27 18:05,
Chaos,1.2,05/27 13:09,05/27 14:20,
用餐,0.7,05/27 12:28,05/27 13:09,
GDG,1.5,05/27 10:56,05/27 12:28,
Chaos,1.1,05/27 09:48,05/27 10:56,
上网,1.0,05/27 08:50,05/27 09:48,
用餐,0.4,05/27 08:26,05/27 08:50,
Ukulele,0.1,05/27 08:22,05/27 08:26,
Chaos,0.4,05/27 08:00,05/27 08:22,
睡眠,7.0,05/27 01:00,05/27 08:00,
家务,14.4,05/26 10:36,05/27 01:00,
Chaos,2.7,05/26 07:56,05/26 10:36,
睡眠,7.1,05/26 00:50,05/26 07:56,
阅读,0.6,05/26 00:16,05/26 00:50,
Chaos,5.9,05/25 18:25,05/26 00:16,
交流,4.7,05/25 13:42,05/25 18:25,
交通,1.2,05/25 12:28,05/25 13:42,
Chaos,3.4,05/25 09:01,05/25 12:28,
睡眠,3.4,05/25 05:38,05/25 09:01,
睡眠,5.0,05/25 00:30,05/25 05:30,
阅读,0.8,05/24 23:45,05/25 00:30,
GDG,2.2,05/24 21:32,05/24 23:45,
家务,0.5,05/24 21:03,05/24 21:32,
Chaos,0.3,05/24 20:47,05/24 21:03,
工作,1.8,05/24 18:58,05/24 20:47,
用餐,0.6,05/24 18:24,05/24 18:58,
Chaos,0.2,05/24 18:12,05/24 18:24,
工作,1.7,05/24 16:29,05/24 18:12,
Chaos,1.3,05/24 15:09,05/24 16:29,
工作,0.2,05/24 15:00,05/24 15:09,
交流,0.3,05/24 14:42,05/24 15:00,
Chaos,2.1,05/24 12:35,05/24 14:42,
交通,0.3,05/24 12:17,05/24 12:35,
工作,0.7,05/24 11:35,05/24 12:17,
Chaos,0.7,05/24 10:52,05/24 11:35,
工作,2.4,05/24 08:28,05/24 10:52,
用餐,0.3,05/24 08:12,05/24 08:28,
Chaos,0.7,05/24 07:29,05/24 08:12,
睡眠,6.6,05/24 00:25,05/24 07:00,
阅读,1.9,05/23 22:25,05/24 00:20,
家务,1.0,05/23 21:27,05/23 22:25,
Chaos,0.6,05/23 20:52,05/23 21:27,
工作,1.4,05/23 19:27,05/23 20:52,
工作,0.1,05/23 19:24,05/23 19:27,
用餐,0.7,05/23 18:39,05/23 19:24,
工作,2.3,05/23 16:21,05/23 18:39,
交流,0.7,05/23 15:40,05/23 16:21,
工作,0.5,05/23 15:09,05/23 15:40,
交通,0.5,05/23 14:39,05/23 15:09,
Chaos,1.8,05/23 12:52,05/23 14:39,
用餐,0.5,05/23 12:24,05/23 12:52,
交通,0.2,05/23 12:13,05/23 12:24,
Chaos,0.0,05/23 12:11,05/23 12:13,
交流,1.2,05/23 10:57,05/23 12:11,
工作,2.3,05/23 08:40,05/23 10:57,
Chaos,1.0,05/23 07:38,05/23 08:40,
睡眠,6.2,05/23 01:27,05/23 07:38,
阅读,1.2,05/23 00:14,05/23 01:27,
Chaos,4.2,05/22 20:02,05/23 00:14,
工作,0.9,05/22 19:05,05/22 20:02,
用餐,0.6,05/22 18:28,05/22 19:05,
工作,1.4,05/22 17:05,05/22 18:28,
交流,0.8,05/22 16:15,05/22 17:05,
工作,1.4,05/22 14:52,05/22 16:15,
Chaos,1.9,05/22 13:00,05/22 14:52,
用餐,0.5,05/22 12:28,05/22 13:00,
购物,0.8,05/22 11:42,05/22 12:28,
Chaos,1.1,05/22 10:38,05/22 11:42,
GDG,0.9,05/22 09:45,05/22 10:38,
上网,0.6,05/22 09:09,05/22 09:45,
Chaos,1.9,05/22 07:15,05/22 09:09,
睡眠,5.2,05/22 02:04,05/22 07:15,
阅读,4.1,05/21 21:57,05/22 02:04,
用餐,2.8,05/21 19:11,05/21 21:57,
Chaos,0.3,05/21 18:53,05/21 19:11,
工作,4.3,05/21 14:38,05/21 18:53,
Chaos,2.8,05/21 11:50,05/21 14:38,
工作,2.3,05/21 09:34,05/21 11:50,
Chaos,1.7,05/21 07:53,05/21 09:34,
睡眠,8.6,05/20 22:55,05/21 07:30,
家务,3.3,05/20 19:30,05/20 22:50,
用餐,2.0,05/20 17:51,05/20 19:50,
Chaos,10.1,05/20 07:47,05/20 17:51,
睡眠,6.8,05/20 00:59,05/20 07:47,
Chaos,5.5,05/19 19:27,05/20 00:59,
交通,15.4,05/19 04:06,05/19 19:27,
Chaos,2.1,05/19 01:58,05/19 04:06,
交通,1.5,05/19 00:29,05/19 01:58,
Chaos,2.2,05/18 22:18,05/19 00:29,
家务,0.0,05/18 22:16,05/18 22:18,
睡眠,4.9,05/18 17:15,05/18 22:10,
Chaos,17.0,05/18 00:13,05/18 17:15,
交通,2.9,05/17 21:20,05/18 00:13,
睡眠,5.8,05/17 15:30,05/17 21:20,
Chaos,1.4,05/17 14:04,05/17 15:30,
交流,5.1,05/17 09:01,05/17 14:04,
购物,4.6,05/17 04:27,05/17 09:01,
GDG,5.9,05/16 22:31,05/17 04:27,
阅读,0.8,05/16 21:44,05/16 22:31,
睡眠,8.8,05/16 12:55,05/16 21:44,
用餐,3.1,05/16 09:49,05/16 12:55,
GDG,11.4,05/15 22:28,05/16 09:49,
Chaos,1.1,05/15 21:24,05/15 22:27,
睡眠,5.5,05/15 15:57,05/15 21:24,
Chaos,2.4,05/15 13:31,05/15 15:57,
用餐,3.5,05/15 10:03,05/15 13:31,
GDG,11.9,05/14 22:06,05/15 10:03,
睡眠,5.7,05/14 16:25,05/14 22:06,
GDG,3.2,05/14 13:11,05/14 16:25,
交流,4.8,05/14 08:24,05/14 13:11,
GDG,9.1,05/13 23:20,05/14 08:24,
Chaos,1.3,05/13 22:03,05/13 23:20,
睡眠,7.5,05/13 14:31,05/13 22:03,
GDG,2.2,05/13 12:21,05/13 14:31,
用餐,2.5,05/13 09:52,05/13 12:21,
交流,2.9,05/13 06:56,05/13 09:52,
Chaos,4.1,05/13 02:50,05/13 06:55,
交通,17.8,05/12 09:03,05/13 02:50,
用餐,1.2,05/12 07:48,05/12 09:03,
Chaos,1.0,05/12 06:50,05/12 07:48,
睡眠,6.3,05/12 00:32,05/12 06:50,
阅读,0.4,05/12 00:10,05/12 00:32,
GDG,2.6,05/11 21:32,05/12 00:10,
Chaos,8.4,05/11 13:07,05/11 21:32,
家务,4.4,05/11 08:43,05/11 13:07,
睡眠,7.2,05/11 01:29,05/11 08:43,
阅读,0.6,05/11 00:51,05/11 01:29,
Chaos,0.1,05/11 00:46,05/11 00:51,
家务,4.5,05/10 20:14,05/11 00:46,
GDG,0.9,05/10 19:19,05/10 20:14,
用餐,0.9,05/10 18:27,05/10 19:19,
GDG,0.8,05/10 17:41,05/10 18:27,
Chaos,0.5,05/10 17:11,05/10 17:41,
GDG,1.3,05/10 15:52,05/10 17:11,
Chaos,0.2,05/10 15:41,05/10 15:52,
Pt0,1.3,05/10 14:23,05/10 15:41,
家务,2.0,05/10 12:25,05/10 14:23,
家务,0.3,05/10 12:09,05/10 12:25,
工作,0.1,05/10 12:01,05/10 12:09,
家务,0.5,05/10 11:29,05/10 12:01,
Pt0,1.6,05/10 09:54,05/10 11:28,
工作,0.1,05/10 09:50,05/10 09:54,
Chaos,2.6,05/10 07:12,05/10 09:50,
睡眠,6.2,05/10 01:02,05/10 07:12,
阅读,0.9,05/10 00:06,05/10 01:02,
上网,1.8,05/09 22:05,05/09 23:55,
家务,27.2,05/09 18:54,05/10 22:05,
Chaos,0.3,05/09 18:36,05/09 18:54,
