活动类别,持续时间,开始时间,结束时间,备注
阅读,2.7,07/01 21:20,07/02 00:05,
Chaos,2.0,07/01 19:23,07/01 21:20,
交通,10.8,07/01 08:32,07/01 19:23,
家务,1.0,07/01 07:31,07/01 08:32,
睡眠,7.3,07/01 00:10,07/01 07:31,
Chaos,1.0,06/30 23:11,07/01 00:10,
阅读,2.0,06/30 21:10,06/30 23:12,
家务,2.0,06/30 19:10,06/30 21:10,
用餐,0.9,06/30 18:18,06/30 19:10,
Chaos,4.5,06/30 13:51,06/30 18:18,
用餐,0.6,06/30 13:15,06/30 13:51,
Chaos,0.5,06/30 12:48,06/30 13:15,
GDG,2.8,06/30 10:02,06/30 12:48,
用餐,0.4,06/30 09:40,06/30 10:02,
Chaos,0.9,06/30 08:48,06/30 09:40,
睡眠,7.5,06/30 01:15,06/30 08:48,
电影,4.3,06/29 20:55,06/30 01:15,
GDG,9.5,06/29 11:24,06/29 20:55,
Chaos,0.7,06/29 10:39,06/29 11:24,
家务,1.2,06/29 09:25,06/29 10:39,
睡眠,8.3,06/29 01:07,06/29 09:25,
家务,3.4,06/28 21:46,06/29 01:07,
交通,0.3,06/28 21:27,06/28 21:46,
Chaos,2.2,06/28 19:16,06/28 21:27,
用餐,0.7,06/28 18:34,06/28 19:16,
交流,2.6,06/28 16:00,06/28 18:34,
GDG,1.4,06/28 14:37,06/28 16:00,
家务,2.2,06/28 12:22,06/28 14:37,
用餐,0.3,06/28 12:04,06/28 12:22,
Chaos,3.4,06/28 08:42,06/28 12:04,
交通,0.8,06/28 07:54,06/28 08:41,
Chaos,0.5,06/28 07:27,06/28 07:54,
睡眠,6.8,06/28 00:42,06/28 07:27,
Chaos,0.3,06/28 00:26,06/28 00:42,
家务,2.3,06/27 22:06,06/28 00:26,
Chaos,0.4,06/27 21:42,06/27 22:06,
工作,2.3,06/27 19:25,06/27 21:42,
Chaos,0.5,06/27 18:56,06/27 19:25,
用餐,1.0,06/27 17:55,06/27 18:56,
工作,2.2,06/27 15:41,06/27 17:55,
GDG,0.5,06/27 15:12,06/27 15:41,
交流,0.5,06/27 14:45,06/27 15:12,
Chaos,0.2,06/27 14:35,06/27 14:45,
交通,0.6,06/27 14:00,06/27 14:35,
Chaos,1.1,06/27 12:55,06/27 14:00,
用餐,0.5,06/27 12:25,06/27 12:55,
交流,1.4,06/27 10:59,06/27 12:25,
工作,0.6,06/27 10:24,06/27 10:59,
Chaos,1.7,06/27 08:40,06/27 10:24,
交通,0.8,06/27 07:53,06/27 08:40,
Chaos,0.6,06/27 07:19,06/27 07:53,
睡眠,6.7,06/27 00:40,06/27 07:19,
Chaos,1.1,06/26 23:34,06/27 00:40,
家务,1.1,06/26 22:27,06/26 23:34,
Chaos,0.3,06/26 22:08,06/26 22:27,
Pt0,2.8,06/26 19:17,06/26 22:07,
用餐,1.0,06/26 18:16,06/26 19:17,
Pt0,2.0,06/26 16:18,06/26 18:16,
Chaos,1.1,06/26 15:09,06/26 16:18,
工作,0.5,06/26 14:41,06/26 15:09,
