"活动类别","持续时间","开始时间","结束时间","备注"
"家务","04:10","2014-08-01 19:55","2014-08-02 00:05",
"用餐","00:55","2014-08-01 19:00","2014-08-01 19:55",
"交通","00:41","2014-08-01 18:18","2014-08-01 19:00",
"Chaos","00:27","2014-08-01 17:51","2014-08-01 18:18",
"OBP","01:16","2014-08-01 16:34","2014-08-01 17:51",""
"GDG","01:41","2014-08-01 14:53","2014-08-01 16:34",""
"交通","00:13","2014-08-01 14:39","2014-08-01 14:53",
"Chaos","01:27","2014-08-01 13:12","2014-08-01 14:39",
"用餐","00:27","2014-08-01 12:44","2014-08-01 13:12",
"交通","00:33","2014-08-01 12:11","2014-08-01 12:44",
"Chaos","00:40","2014-08-01 11:30","2014-08-01 12:11",
"Pt0","00:13","2014-08-01 11:17","2014-08-01 11:30",
"Chaos","00:21","2014-08-01 10:56","2014-08-01 11:17",
"工作","00:27","2014-08-01 10:28","2014-08-01 10:56",
"交流","00:06","2014-08-01 10:21","2014-08-01 10:28",
"Chaos","01:03","2014-08-01 09:17","2014-08-01 10:21",
"用餐","00:35","2014-08-01 08:42","2014-08-01 09:17",
"交通","00:13","2014-08-01 08:29","2014-08-01 08:42",
"家务","00:46","2014-08-01 07:42","2014-08-01 08:29",
"睡眠","06:12","2014-08-01 01:29","2014-08-01 07:42",
"Chaos","00:47","2014-08-01 00:42","2014-08-01 01:29",
"阅读","03:39","2014-07-31 21:00","2014-08-01 00:40",""
"家务","02:00","2014-07-31 19:00","2014-07-31 21:00",""
"交通","00:18","2014-07-31 18:42","2014-07-31 19:00",""
"Chaos","01:39","2014-07-31 17:03","2014-07-31 18:42",
"家务","00:28","2014-07-31 16:34","2014-07-31 17:03",
"GDG","01:18","2014-07-31 15:16","2014-07-31 16:34",
"Chaos","00:34","2014-07-31 14:41","2014-07-31 15:16",
"交通","00:05","2014-07-31 14:36","2014-07-31 14:41",
"Chaos","01:19","2014-07-31 13:16","2014-07-31 14:36",
"交通","00:41","2014-07-31 12:34","2014-07-31 13:16",
"Chaos","00:39","2014-07-31 11:55","2014-07-31 12:34",
"工作","00:00","2014-07-31 09:36","2014-07-31 09:36",
"工作","02:18","2014-07-31 09:36","2014-07-31 11:55",
"Chaos","00:15","2014-07-31 09:21","2014-07-31 09:36",
"用餐","00:18","2014-07-31 09:03","2014-07-31 09:21",
"交通","00:09","2014-07-31 08:54","2014-07-31 09:03",
"家务","00:50","2014-07-31 08:03","2014-07-31 08:54",
"睡眠","06:58","2014-07-31 01:04","2014-07-31 08:03",
"Chaos","03:04","2014-07-30 22:00","2014-07-31 01:04",
"运动","02:34","2014-07-30 19:26","2014-07-30 22:00",""
"交通","01:01","2014-07-30 18:24","2014-07-30 19:26",
"Chaos","00:56","2014-07-30 17:27","2014-07-30 18:24",
"GDG","00:51","2014-07-30 16:36","2014-07-30 17:27",
"家务","00:09","2014-07-30 16:27","2014-07-30 16:36",
"工作","01:13","2014-07-30 15:14","2014-07-30 16:27",
"Chaos","00:00","2014-07-30 15:13","2014-07-30 15:14",
"交通","00:28","2014-07-30 14:45","2014-07-30 15:13",""
"Chaos","01:02","2014-07-30 13:43","2014-07-30 14:45",
"用餐","00:16","2014-07-30 13:27","2014-07-30 13:43",
"交通","00:18","2014-07-30 13:08","2014-07-30 13:26",
"Chaos","00:05","2014-07-30 13:03","2014-07-30 13:08",
"工作","02:05","2014-07-30 10:57","2014-07-30 13:03",
"家务","01:17","2014-07-30 09:40","2014-07-30 10:57",
"Chaos","00:40","2014-07-30 09:00","2014-07-30 09:40",
"用餐","00:27","2014-07-30 08:32","2014-07-30 08:59",
"交通","00:13","2014-07-30 08:19","2014-07-30 08:32",
"家务","00:34","2014-07-30 07:44","2014-07-30 08:18",
"睡眠","06:17","2014-07-30 01:27","2014-07-30 07:44",
"Chaos","01:34","2014-07-29 23:53","2014-07-30 01:27",
"用餐","00:31","2014-07-29 23:22","2014-07-29 23:53",
"交通","00:40","2014-07-29 22:42","2014-07-29 23:22",
"Pt0","00:50","2014-07-29 21:51","2014-07-29 22:42",
"Chaos","00:21","2014-07-29 21:29","2014-07-29 21:51",
"Pt0","01:50","2014-07-29 19:39","2014-07-29 21:29",
"Chaos","00:29","2014-07-29 19:10","2014-07-29 19:39",
"购物","00:27","2014-07-29 18:43","2014-07-29 19:10",
"GDG","02:36","2014-07-29 16:06","2014-07-29 18:43",""
"GDG","00:28","2014-07-29 15:38","2014-07-29 16:06",
"交流","00:41","2014-07-29 14:56","2014-07-29 15:38",
"Chaos","00:03","2014-07-29 14:53","2014-07-29 14:56",
"交通","00:14","2014-07-29 14:38","2014-07-29 14:53",
"Chaos","01:22","2014-07-29 13:15","2014-07-29 14:38",""
"交通","00:23","2014-07-29 12:52","2014-07-29 13:15",
"GDG","01:37","2014-07-29 11:14","2014-07-29 12:52",
"Chaos","00:44","2014-07-29 10:30","2014-07-29 11:14",
"Pt0","00:25","2014-07-29 10:04","2014-07-29 10:30",
"GDG","01:33","2014-07-29 08:31","2014-07-29 10:04",""
"用餐","00:27","2014-07-29 08:04","2014-07-29 08:31",
"家务","00:51","2014-07-29 07:12","2014-07-29 08:04",
"睡眠","05:53","2014-07-29 01:19","2014-07-29 07:12",
"Chaos","01:51","2014-07-28 23:27","2014-07-29 01:19",
"OBP","02:50","2014-07-28 20:37","2014-07-28 23:27",""
"用餐","01:23","2014-07-28 19:13","2014-07-28 20:37",
"交通","00:19","2014-07-28 18:54","2014-07-28 19:13",
"OBP","00:46","2014-07-28 18:07","2014-07-28 18:54",
"GDG","00:43","2014-07-28 17:24","2014-07-28 18:07",
"OBP","00:17","2014-07-28 17:07","2014-07-28 17:24",
"家务","00:07","2014-07-28 16:59","2014-07-28 17:07",
"OBP","00:04","2014-07-28 16:54","2014-07-28 16:59",
"Chaos","00:26","2014-07-28 16:27","2014-07-28 16:54",
"GDG","00:33","2014-07-28 15:54","2014-07-28 16:27",
"OBP","01:02","2014-07-28 14:52","2014-07-28 15:54",""
"交通","00:16","2014-07-28 14:36","2014-07-28 14:52",
"Chaos","00:38","2014-07-28 13:57","2014-07-28 14:36",
"用餐","00:27","2014-07-28 13:29","2014-07-28 13:57",
"交通","00:15","2014-07-28 13:14","2014-07-28 13:29",
"Chaos","01:27","2014-07-28 11:47","2014-07-28 13:14",
"家务","00:54","2014-07-28 10:52","2014-07-28 11:47",
