date,Life,Output,Chaos,Livin,Input,Others,Total,Untracked
1302,364.5,182.5,127.0,70.3,23.5,0.1,768.0,0.0
1304,329.8,159.4,164.9,38.7,48.6,2.6,744.0,0.0
1305,368.3,173.5,164.1,19.4,28.8,1.6,768.0,0.0
1306,332.0,167.7,146.4,21.0,76.1,0.1,744.0,0.0
1307,368.8,180.8,162.9,27.0,28.1,0.4,768.0,0.0
1308,361.8,196.4,149.4,26.8,32.8,0.6,768.0,0.0
1309,403.6,194.3,105.5,24.6,15.8,0.1,744.0,0.0
1310,409.9,139.6,168.0,25.3,24.8,0.2,768.0,0.0
1311,356.3,176.3,179.6,19.4,12.0,0.2,744.0,0.0
1312,350.7,228.8,162.0,12.3,14.0,0.1,768.0,0.0
1312,350.7,228.8,162.0,12.3,14.0,0.1,768.0,0.0
1401,360.3,217.5,153.2,25.2,11.5,0.2,768.0,0.0
1402,366.0,160.8,141.1,18.0,10.0,0.1,696.0,0.0
1403,97.52,241.68,103.05,199.47,7.55,0.0,767.35,118.08
1404,143.60,164.25,192.67,233.47,7.08,0.0,743.78,2.72
1405,205.65,173.22,130.25,254.40,2.27,0.0,767.67,1.88
1406,165.50,164.55,132.63,229.07,16.18,0.0,708.22,0.28
1407,179.93,163.95,139.93,256.53,10.58,0.0,753.05,2.12
1408,225.10,150.78,124.68,259.38,3.83,0.0,767.88,4.10
1409,172.07,163.55,144.47,237.70,0.42,0.0,719.02,0.82
1410,201.07,149.75,168.90,243.65,2.62,0.0,767.87,1.88
1411,196.78,165.15,148.08,225.90,6.32,0.0,743.87,1.63
1412,194.00,140.47,147.68,259.85,12.95,0.0,755.73,0.78
1501,160.78,156.63,94.95,196.57,21.03,137.97,768.00,0.0
1502,208.60,112.42,97.85,254.18,22.18,0.23,696.00,0.0
1503,193.00,207.98,111.22,230.98,24.62,0.07,768.00,0.0
1504,215.45,191.02,99.50,226.85,10.93,0.08,744.00,0.0
1505,226.85,126.60,136.90,249.50,28.02,0.03,768.00,0.0
