date,Pt,Pd,Pl,Po
2011-07-26,8,6,1,4
2011-07-27,8,5,2,8
2011-07-28,8,3,2,5
2011-07-29,6,5,2,5
2011-08-01,6,5,1,5
2011-08-02,5,5,0,2
2011-08-03,6,4,3,4
2011-08-04,5,5,2,7
2011-08-05,5,4,2,8
2011-08-08,5,2,2,4
2011-08-09,5,5,1,4
2011-08-10,5,3,0,0
2011-08-11,5,5,1,2
2011-08-12,5,1,2,4
2011-08-15,6,2,2,3
2011-08-16,6,3,1,4
2011-08-17,5,2,2,3
2011-08-18,5,2,1,2
2011-08-18,5,3,0,3
2011-08-22,5,1,2,5
2011-08-23,5,2,1,3
2011-08-24,5,3,1,3
2011-08-25,5,3,2,2
2011-08-26,5,2,3,4
2011-08-29,5,3,1,4
2011-08-30,5,3,2,3
2011-08-31,5,2,2,4
2011-09-01,5,1,2,4
2011-09-02,5,1,2,4
2011-09-05,5,1,2,4
2011-09-06,5,1,2,4
2011-09-07,5,2,1,4
2011-09-08,5,3,1,6
2011-09-10,5,1,2,4
2011-09-13,5,1,3,4
2011-09-14,5,1,3,4
2011-09-15,5,1,2,4
2011-09-16,5,1,2,4
2011-09-19,5,0,3,5
2011-09-20,5,2,1,3
2011-09-21,5,2,1,4
2011-09-22,5,2,1,3
2011-09-23,5,2,3,5
2011-09-26,5,0,4,5
2011-09-27,5,2,2,5
2011-09-28,5,2,1,3
2011-09-29,5,2,1,4
2011-09-30,5,1,2,4
2011-10-08,5,1,2,4
2011-10-09,5,2,1,4
2011-10-10,5,2,0,4
2011-10-11,5,0,2,5
2011-10-12,5,0,2,4
2011-10-13,5,2,2,2
2011-10-14,5,1,3,5
2011-10-17,5,1,3,4
2011-10-18,5,2,1,2
2011-10-19,5,1,2,4
2011-10-20,6,1,2,4
2011-10-21,6,2,3,5
2011-10-24,6,1,4,6
2011-10-25,6,1,4,8
2011-10-26,5,3,1,2
2011-10-27,5,2,2,3
2011-10-28,5,1,3,4
2011-10-31,5,1,3,5
2011-11-01,5,1,4,5
2011-11-02,5,1,3,5
2011-11-03,5,1,3,6
2011-11-04,5,1,3,5
2011-11-07,5,2,2,6
2011-11-08,5,1,3,6
2011-11-10,5,3,2,3
2011-11-11,6,3,2,3
2011-11-14,6,1,3,6
2011-11-15,6,1,4,8
2011-11-16,6,2,2,4
2011-11-17,6,2,2,4
2011-11-18,6,3,1,4
2011-11-21,6,3,1,4
2011-11-22,6,4,0,3
2011-11-23,6,4,0,3
2011-11-24,6,3,1,4
2011-11-25,6,3,1,4
2011-11-28,6,3,1,3
2011-11-29,6,3,1,3
2011-11-30,6,4,0,3
2011-12-01,6,1,3,8
2011-12-07,6,0,4,6
2011-12-08,5,0,4,5
2011-12-09,5,0,4,5
2011-12-12,5,0,4,5
2011-12-13,6,1,4,5
2011-12-14,6,1,4,5
2011-12-15,6,2,3,4
2011-12-19,6,0,5,6
2011-12-20,6,0,5,6
2011-12-21,6,1,4,0
2011-12-22,6,1,3,3
2011-12-23,6,2,2,6
2011-12-26,6,0,5,6
2011-12-27,6,1,4,10
2011-12-28,6,1,4,8
2011-12-29,6,1,4,9
2011-12-30,6,1,3,5
2011-12-31,6,2,2,7
2012-01-04,6,2,2,4
2012-01-05,6,3,1,4
2012-01-06,6,2,2,4
2012-01-09,6,2,2,4
2012-01-10,6,3,1,8
2012-01-11,6,3,1,2
2012-01-12,6,0,4,6
2012-01-13,6,0,4,6
2012-01-16,6,0,3,6
2012-01-17,6,2,1,3
2012-01-18,6,2,1,7
2012-01-19,6,1,2,8
2012-01-30,6,0,4,6
2012-01-31,6,2,2,3
2012-02-01,6,0,4,6
2012-02-02,6,2,2,3
2012-02-03,6,1,4,5
2012-02-06,6,1,3,4
2012-02-07,6,0,4,6
2012-02-08,6,2,,,7
2012-02-09,6,2,2,3
2012-02-10,6,2,2,5
2012-02-13,6,0,4,6
2012-02-14,6,1,1,6
2012-02-15,6,1,3,4
2012-02-16,6,1,2,4
2012-02-17,6,0,0,6
2012-02-20,6,1,2,7
2012-02-21,6,0,3,6
2012-02-22,6,1,2,4
2012-02-23,6,1,2,4
2012-02-24,6,0,3,6
2012-02-27,6,1,2,4
2012-02-28,6,0,3,6
2012-02-29,6,0,3,6
2012-03-01,6,0,3,6
2012-03-02,6,0,3,6
2012-03-05,6,0,3,6
2012-03-06,6,0,3,6
2012-03-07,6,0,3,6
2012-03-08,6,1,1,4
2012-03-09,6,1,1,2
2012-03-12,6,1,2,5
2012-02-13,6,1,2,4
2012-03-14,6,0,3,6
2012-03-15,6,1,2,4
2012-03-16,6,1,2,5
2012-03-19,6,2,2,7
2012-03-20,6,1,1,8
2012-03-21,6,2,1,6
2012-03-22,6,0,3,6
2012-03-23,6,1,1,4
2012-03-26,6,0,2,6
2012-03-27,6,0,2,6
2012-03-28,6,1,1,5
2012-03-29,6,0,3,6
2012-03-30,6,0,3,6
2012-03-31,4,0,0,4
2012-04-01,4,1,1,4
2012-04-05,6,1,1,6
2012-04-06,6,0,2,6
2012-04-09,4,1,0,1
2012-04-10,6,1,1,3
2012-04-11,6,0,2,5
2012-04-12,6,0,2,6
2012-04-13,6,0,3,6
2012-04-16,6,0,2,3
2012-04-17,6,1,1,4
2012-04-18,6,0,2,6
2012-04-19,6,1,1,6
2012-04-20,6,1,1,5
2012-04-23,6,1,1,4
2012-04-24,6,0,2,6
2012-04-25,6,1,1,4
2012-04-26,6,1,1,7
2012-04-27,6,1,1,11
2012-05-02,6,0,2,6
2012-05-03,6,0,2,6
2012-05-04,6,1,1,8
2012-04-07,6,0,2,6
2012-05-08,6,1,0,4
2012-05-09,8,1,1,6
2012-05-10,6,0,1,4
2012-05-14,0,0,0,0
2012-05-15,6,0,2,6
2012-05-16,6,0,2,6
2012-05-17,6,0,2,6
2012-05-18,6,0,0,6
2012-05-19,6,1,1,8
2012-05-20,6,2,0,3
2012-05-21,6,2,0,5
2012-05-22,6,2,0,4
2012-05-24,0,0,0,0
2012-05-27,4,2,0,2
2012-05-28,6,1,1,7
2012-05-29,6,1,1,4
2012-05-30,6,1,1,3
2012-05-31,6,1,1,13
2012-06-01,6,1,1,4
2012-06-04,6,2,0,7
2012-06-05,6,1,1,7
2012-06-06,6,2,0,4
2012-06-07,6,2,0,1
2012-06-08,6,1,1,8
2012-06-11,6,2,0,2
2012-06-12,6,2,0,9
2012-06-13,6,1,1,3
2012-06-14,6,2,0,3
2012-06-15,6,1,1,5
2012-06-18,6,2,0,3
2012-06-19,6,2,0,2
2012-06-20,6,1,1,9
2012-06-25,6,2,0,1
2012-06-26,6,2,0,3
2012-06-27,6,2,1,8
2012-06-28,6,3,0,1
2012-06-29,6,1,2,6
2012-07-02,4,1,1,4
2012-07-03,6,0,2,6
2012-07-04,6,1,1,5
2012-07-05,4,1,1,3
2012-07-06,4,1,1,3
2012-07-09,4,1,1,2
2012-07-10,4,1,1,3
2012-07-11,4,0,0,4
2012-07-12,4,1,1,2
2012-07-13,4,1,1,3
2012-07-16,4,1,1,2
2012-07-17,6,2,1,8
2012-07-18,6,3,0,5
2012-07-19,6,1,2,4
2012-07-20,6,2,0,,
2012-07-23,4,1,1,3
2012-07-24,4,2,0,3
2012-07-25,6,2,1,3
2012-07-26,6,3,0,3
2012-07-27,6,2,1,5
2012-07-30,6,2,1,4
2012-07-31,6,3,0,4
2012-08-01,6,1,2,8
2012-08-02,6,1,0,2
2012-08-03,6,1,0,4
2012-08-06,6,3,0,6
2012-08-07,3,3,0,4
2012-08-08,6,3,0,7
2012-08-09,6,2,1,13
2012-08-10,6,1,1,5
2012-08-13,6,1,2,7
2012-08-14,6,1,2,6
2012-08-15,6,1,0,8
2012-08-16,6,1,2,8
2012-08-17,6,1,1,3
2012-08-17,6,1,2,5
2012-08-21,6,2,1,7
2012-08-22,6,2,1,12
2012-08-23,6,1,2,11
2012-08-29,6,1,1,9
2012-08-30,6,1,1,3
2012-08-31,6,1,1,4
2012-09-03,6,1,2,16
2012-09-04,6,2,1,5
2012-09-05,6,2,1,11
2012-09-06,0,0,0,0
2012-09-07,0,0,0,0
2012-09-10,0,0,0,0
2012-09-11,6,1,1,9
2012-09-12,6,2,0,7
2012-09-13,6,1,1,11
2012-09-14,0,0,0,0
2012-09-17,6,2,0,7
2012-09-18,6,1,1,6
2012-09-19,6,1,1,8
2012-09-20,6,0,2,6
2012-09-21,6,1,1,6
2012-09-24,6,1,1,8
2012-09-25,6,1,2,12
2012-09-26,6,1,1,11
2012-09-27,6,1,2,10
2012-09-28,6,1,1,9
2012-10-10,6,2,0,4
2012-10-11,6,1,1,6
2012-10-12,6,2,0,6
2012-10-15,6,2,1,6
2012-10-16,6,2,1,7
2012-10-17,6,2,0,6
2012-10-18,0,0,0,0
2012-10-19,6,1,1,5
2012-10-22,6,2,0,6
2012-10-23,6,1,0,,
2012-10-24,6,2,0,8
2012-10-25,6,2,1,9
2012-10-29,6,2,0,7
2012-10-30,6,1,1,7
2012-10-31,6,1,1,7
2012-11-01,6,1,1,5
2012-11-02,6,2,0,3
2012-11-05,6,2,0,8
2012-11-06,6,2,0,9
2012-11-07,6,1,1,7
2012-11-15,6,1,1,4
2012-11-16,6,1,2,9
2012-11-19,6,1,1,6
2012-11-20,6,1,1,4
2012-11-21,6,1,1,4
2012-11-22,6,2,0,4
2012-11-23,6,1,1,3
2012-11-26,6,2,1,5
2012-11-27,6,2,1,3
2012-11-28,6,1,1,7
2012-11-29,6,2,0,3
2012-11-30,4,1,1,3
2012-12-05,6,1,1,4
2012-12-06,6,1,1,4
