date,tI,tO,tC,tM,tF,tS
110209,2.00,4.00,1.00,7.00,5.00,6.00
110210,0.00,1.50,1.50,10.5,4.50,5.50
110212,0.00,2.50,1.00,8.00,4.00,7.00
110214,2.50,2.75,1.25,4.00,5.00,7.00
110215,0.00,6.00,0.50,6.50,4.00,7.50
110216,0.00,3.00,1.50,7.00,4.00,7.50
110217,0.00,1.00,2.00,8.50,4.50,7.00
110218,2.00,3.00,0.00,7.00,4.00,7.00
110221,0.00,3.50,3.00,4.50,4.00,7.50
110222,0.50,3.50,1.00,8.00,4.50,8.00
110223,1.00,4.50,1.00,5.00,4.50,7.00
110224,3.00,5.00,0.00,3.50,3.50,7.50
110225,2.00,0.75,7.75,2.00,4.00,6.50
110228,0.00,4.00,0.00,6.00,6.00,6.50
