date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
110901,5.50,1.25,4.00,4.75,1.00,6.00    5, 1, 2, 4
110902,4.50,3.75,0.50,5.25,1.00,6.50    5, 1, 2, 4
110905,6.00,2.50,0.75,2.50,3.00,7.50    5, 1, 2, 4
110906,0.00,7.50,0.75,3.50,4.00,8.25    5, 1, 2, 4
110907,0.00,5,75,1.00,6.75,2.50,6.50    5, 2, 1, 4
110908,1.00,4.50,6.00,4.00,1.50,7.50    5, 3, 1, 6
110910,5.75,1.50,1.50,2.75,4.50,9.00    5, 1, 2, 4
110913,0.50,0.75,0.75,6.00,4.35,9.35    5, 1, 3, 4
110914,2.00,1.50,2.25,3.75,5.00,8.00    5, 1, 3, 4
110915,0.00,0.75,4.00,5.25,7.75,7.00    5, 1, 2, 4
110916,0.00,2.00,1.50,7.50,5.50,6.00    5, 1, 2, 4
110919,0.00,2.30,1.75,4.85,1.25,6.00    5, 0, 3, 5
110920,1.00,2.75,0.75,7.00,3.50,8.50    5, 2, 1, 3
110921,2.00,5.50,1.50,5.50,1.50,7.00    5, 2, 1, 4
110922,0.25,3.50,3.75,5.00,3.75,7.00    5, 2, 1, 3
110923,0.00,2.00,2.00,8.50,5.00,7.00    5, 2, 3, 5
110926,0.00,4.00,3.80,4.25,4.50,7.00    5, 0, 4, 5
110927,3.00,4.50,0.75,7.75,1.50,7.00    5, 2, 2, 5
110928,0.00,4.25,2.00,6.25,4.50,6.00    5, 2, 1, 3
110929,4.00,4.00,2.50,5.00,2.00,6.00    5, 2, 1, 4
110930,2.25,3.25,1.00,6.00,5.00,6.00    5, 1, 2, 4


