date,tI,tO,tC,tM,tF,tS                              Pt,Pd,Pl,Po
120401,1.75,0.00,4.50,5.00,7.75,4.00    4, 1, 1, 4
120405,2.25,3.75,0.00,4.25,5.55,7.00    6, 1, 1, 6
120406,6.50,0.00,0.00,7.00,6.00,7.00    6, 0, 2, 6
120409,1.50,1.50,1.50,5.00,7.50,7.00    4, 1, 0, 1
120410,1.25,3.00,2.00,4.50,6.75,6.00    6, 1, 1, 3
120411,0.75,3.25,2.25,6.25,5.00,6.00    6, 0, 2, 5
120412,1.50,5.50,3.00,2.50,1.00,6.00    6, 0, 2, 6
120413,2.50,1.00,1.50,8.00,5.00,6.00    6, 0, 3, 6
120416,6.25,3.00,0.00,4.00,4.00,6.00    6, 0, 2, 3
120417,1.75,2.50,3.00,5.50.4.00,6.00    6, 1, 1, 4
120418,1.00,0.75,2.00,6.25,7.25,6.00    6, 0, 2, 6
120419,2.00,5.25,3.75,4.00,1.00,6.00    6, 1, 1, 6
120420,0.00,4.50,3.00,6.00,4.50,7.00    6, 1, 1, 5
120423,1.50,2.25,2.50,3.75,5.00,6.00    6, 1, 1, 4
120424,4.50,4.00,1.00,4.50,3.00,7.00    6, 0, 2, 6
120425,0.00,7.25,1.00,4.00,4.50,6.00    6, 1, 1, 4
120426,4.75,3.50,2.50,4.00,3.00,6.00    6, 1, 1, 7
120427,1.00,8.00,0.75,4.50,4.50,6.00    6, 1, 1, 11
