date,tI,tO,tC,tM,tF,tS                              Pt,Pd,Pl,Po
120502,2.00,3.00,1.25,7.25,3.75,6.00    6, 0, 2, 6
120503,0.00,8.00,1.50,5.50,1.50,5.00    6, 0, 2, 6
120504,0.00,6.00,0.00,3.50,5.00,6.00    6, 1, 1, 8
120407,0.00,6.75,0.00,3.75,6.00,6.00    6, 0, 2, 6
120508,0.00,5.75,0.00,4.50,6.00,6.00    6, 1, 0, 4
120509,0.00,4.00,0.50,5.00,6.00,7.00    8, 1, 1, 6
120510,1.00,3.00,1.50,8.50,3.00,7.00    6, 0, 1, 4
120514,0.00,0.00,3.00,13.5,1.00,7.00    0, 0, 0, 0
120515,0.00,2.75,4.00,6.75,4.00,7.00    6, 0, 2, 6
120516,5.50,1.00,3.50,5.00,1.00,7.00    6, 0, 2, 6
120517,2.25,0.00,5.00,7.50,1.00,6.00    6, 0, 2, 6
120518,2.00,0.00,6.50,2.25,5.25,7.00    6, 0, 0, 6
120519,1.50,4.00,0.50,7.00,5.75,6.00    6, 1, 1, 8
120520,0.00,3.75,2.50,5.00,3.50,6.00    6, 2, 0, 3
120521,2.00,7.00,2.00,4.50,4.50,6.00    6, 2, 0, 5
120522,1.50,6.00,4.00,4.25,5.00,6.00    6, 2, 0, 4
120524,5.00,0.75,1.00,2.25,6.00,6.00    0, 0, 0, 0
120527,0.00,4.50,0.75,4.00,5.25,6.00    4, 2, 0, 2
120528,0.00,6.50,1.50,7.50,1.00,6.00    6, 1, 1, 7
120529,1.25,4.75,3.50,4.00,2.50,7.00    6, 1, 1, 4
120530,0.50,5.50,2.50,2.50,1.00,6.50    6, 1, 1, 3
120531,0.00,6.75,2.00,5.00,7.50,7.00    6, 1, 1, 13
