date,tI,tO,tC,tM,tF,tS                  Pt,Pd,Pl,Po
130301,0.00,4.25,2.00,3.75,6.00,7.00    6, 1, 1, 6
130304,0.00,4.75,0.00,4.75,7.50,7.00    6, 1, 1, 4
130305,0.00,1.00,1.75,0.75,9.50,7.00    6, 1, 1, 4
130306,2.00,2.25,0.00,3.75,11.25,7.0    6, 1, 1, 4
130307,0.00,5.75,1.00,1.00,10.25,6.0    6, 2, 0, 4
130310,0.00,2.75,7.00,0.00,5.75,7.00    6, 1, 1, 4
130311,0.00,0.00,2.75,2.50,7.00,7.00    6, 1, 1, 2
130312,2.25,0.00,3.00,1.75,5.50,7.00    6, 1, 1, 7
130314,0.00,1.00,7.50,1.50,6.00,6.00    6, 1, 1, 5
130315,0.00,7.00,1.50,2.50,6.50,7.00    6, 1, 1, 6
130318,0.00,1.50,0.00,2.00,9.50,7.00    8, 1, 1, 4
130319,3.00,6.00,0.50,0.00,6.00,7.00    6, 1, 1, 3
130320,1.25,6.00,2.75,2.50,3.50,6.00    6, 1, 1, 11
130321,2.00,3.00,6.00,0.50,5.25,6.00    6, 1, 1, 10
130322,0.00,2.25,7.50,3.50,5.75,6.00    6, 1, 1, 6
130225,3.50,2.00,2.00,2.00,8.00,5.50    6, 1, 1, 4
130326,1.00,6.00,3.50,3.00,6.50,5.50    6, 1, 1, 5
130327,4.50,3.25,1.25,1.50,5.00,5.50    6, 1, 1, 6
130327,1.75,5.50,1.00,3.50,5.75,5.50    6, 0, 2, 6

